OBJECTID,STATE,LEVEL_,DEFINITION,SOURCE,SOURCEDATE
24,CO,II,"Level II Trauma Center has high standards for organization, divisions, and equipment, including orthopedic surgery.  Capabilities for pediatrics and equipment for critical care unit. Physical therapy and social services provided, and participation in community activities.",http://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=6617&fileName=6%20CCR%201015-5,2016-05-20T00:00:00.000Z
25,CO,III,"The Level III trauma center (general) serves communities that do not have immediate access to a Level I or II institution. Level III trauma centers can provide prompt assessment, resuscitation, emergency operations, stabilization, and also arrange for transfer to a facility that can provide definitive trauma care.",http://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=6617&fileName=6%20CCR%201015-6,2016-05-20T00:00:00.000Z
26,CO,IV,Level IV trauma centers have equipment for stabilization of patients and participate in the broader trauma center network.,http://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=6617&fileName=6%20CCR%201015-7,2016-05-20T00:00:00.000Z
27,CO,V,Level V trauma centers have equipment for stabilization of patients and participate in the broader trauma center network. May not always be open 24 hours.,http://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=6617&fileName=6%20CCR%201015-8,2016-05-20T00:00:00.000Z
28,CO,RPTC,Regional Pediatric Trauma Center,http://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=6617&fileName=6%20CCR%201015-9,2016-05-20T00:00:00.000Z
29,CT,I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education. ",http://www.ct.gov/dph/lib/dph/public_health_code/sections/19a-177-1_to_19a-177-9_statewide_trauma_system.pdf,2016-05-23T00:00:00.000Z
30,CT,II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://www.ct.gov/dph/lib/dph/public_health_code/sections/19a-177-1_to_19a-177-9_statewide_trauma_system.pdf,2016-05-23T00:00:00.000Z
31,CT,III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities.",http://www.ct.gov/dph/lib/dph/public_health_code/sections/19a-177-1_to_19a-177-9_statewide_trauma_system.pdf,2016-05-23T00:00:00.000Z
32,CT,PEDIATRIC I,"Level I Trauma Centers generally serve large cities or population-dense areas and have pediatric specialists to ensure comprehensive care for pediatric patients. A Level I Trauma Center is responsible for providing leadership in research, professional and community education. ",http://www.ct.gov/dph/lib/dph/public_health_code/sections/19a-177-1_to_19a-177-9_statewide_trauma_system.pdf,2016-05-23T00:00:00.000Z
33,DC,I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education. ",http://doh.dc.gov/service/district-trauma-system,2016-05-23T00:00:00.000Z
34,DC,I PEDIATRIC,"Level I Trauma Centers generally serve large cities or population-dense areas and have pediatric specialists to ensure comprehensive care for pediatric patients. A Level I Trauma Center is responsible for providing leadership in research, professional and community education. ",http://doh.dc.gov/service/district-trauma-system,2016-05-23T00:00:00.000Z
35,DE,1,"A Regional Resource Trauma Center has the capability of providing leadership and comprehensive, definitive care for every aspect of injury from prevention through rehabilitation. It also serves as the lead Trauma Center for the Trauma System",http://dhss.delaware.gov/dhss/dph/ems/trauma.html,2016-05-23T00:00:00.000Z
36,DE,3,"A Community Trauma Center is capable of providing assessment, resuscitation, stabilization, and triage for all trauma patients, arranging for timely transfer of those patients requiring the additional resources of a Regional Trauma or Specialty Center, and delivering definitive care to those whose needs match the resources of this facility. Reciprocity means that Delaware’s Division of Public Health has accepted the trauma center designation conferred by Maryland.",http://dhss.delaware.gov/dhss/dph/ems/trauma.html,2016-05-23T00:00:00.000Z
37,DE,5,"A Participating Hospital is an acute care facility that may receive, usually by private vehicle, moderately or even severely injured trauma patients. Participating Hospitals quickly identify and transfer patients with significant injuries to a trauma center after initial resuscitation. When necessary, this facility may provide care to trauma patients with minor injuries. Participating Hospitals contribute data to the Delaware Trauma System Registry and Quality Improvement Program. They do not receive ambulance patients meeting the Prehospital Trauma Triage Scheme criteria.",http://dhss.delaware.gov/dhss/dph/ems/trauma.html,2016-05-23T00:00:00.000Z
38,DE,PEDIATRIC 1,"A Pediatric Regional Resource Trauma Center has the capability of providing leadership and comprehensive, definitive pediatric trauma care for the most severely injured children within its geographic area. It assumes a leadership role in the care for injured children within its local, regional, and statewide Trauma Systems.",http://dhss.delaware.gov/dhss/dph/ems/trauma.html,2016-05-23T00:00:00.000Z
39,FL,I,Level I Trauma Center is a comprehensive regional resource that is a tertiary care facility central to the trauma system. A Level I Trauma Center is capable of providing total care for every aspect of injury – from prevention through rehabilitation.,http://www.floridahealth.gov/licensing-and-regulation/trauma-system/_documents/traumacntrstandpamphlet150-9-2009rev1-14-10.pdf,2016-05-23T00:00:00.000Z
40,FL,II,A Level II Trauma Center is able to initiate definitive care for all injured patients..,http://www.floridahealth.gov/licensing-and-regulation/trauma-system/_documents/traumacntrstandpamphlet150-9-2009rev1-14-10.pdf,2016-05-23T00:00:00.000Z
41,FL,PEDIATRIC,"A Pediatric Trauma Center has the capability of providing leadership and comprehensive, definitive pediatric trauma care for the most severely injured children within its geographic area.",http://www.floridahealth.gov/licensing-and-regulation/trauma-system/_documents/traumacntrstandpamphlet150-9-2009rev1-14-10.pdf,2016-05-23T00:00:00.000Z
42,GA,I,"Highest level of trauma center designation and offers the greatest level of comprehensive trauma care, from prevention through rehabilitation.  Level I facilities have the major responsibility for leading in trauma education, research and planning.  Most facilities that meet Level I criteria will be academic facilities and have active surgical residency programs.",https://publications.gha.org/Home/GHAFactBook/MapsandLists/DesignatedTraumaCenters/TraumaCareLevelDescriptions.aspx,2016-05-23T00:00:00.000Z
43,GA,II,"Generally can provide the same level of clinical care as a Level I, but usually does not have the focus on research, education and systems planning.  Some patients with very complex injuries may require transfer to a Level I center. ",https://publications.gha.org/Home/GHAFactBook/MapsandLists/DesignatedTraumaCenters/TraumaCareLevelDescriptions.aspx,2016-05-23T00:00:00.000Z
44,GA,III,"Provides trauma assessment, resuscitation, emergency surgery, stabilization and if needed, transfer of patients requiring more definitive care to Level II or I centers.",https://publications.gha.org/Home/GHAFactBook/MapsandLists/DesignatedTraumaCenters/TraumaCareLevelDescriptions.aspx,2016-05-23T00:00:00.000Z
45,GA,IV,Provides advanced life support and stabilization of patients transported to their facility and expedite transfer of patients requiring more definitive care to Level I or II centers. Level IV centers may be a clinic or hospital in a remote area and may or may not have a physician available 24 hours a day.,https://publications.gha.org/Home/GHAFactBook/MapsandLists/DesignatedTraumaCenters/TraumaCareLevelDescriptions.aspx,2016-05-23T00:00:00.000Z
46,GA,I PEDIATRIC,"Highest level of trauma center designation and offers the greatest level of comprehensive trauma care, from prevention through rehabilitation.  Level I facilities have the major responsibility for leading in pediatric trauma education, research and planning.  Most facilities that meet Level I criteria will be academic facilities and have active surgical residency programs.",https://publications.gha.org/Home/GHAFactBook/MapsandLists/DesignatedTraumaCenters/TraumaCareLevelDescriptions.aspx,2016-05-23T00:00:00.000Z
47,GA,II PEDIATRIC,"Generally can provide the same level of pediatric clinical care as a Level I, but usually does not have the focus on research, education and systems planning.  Some patients with very complex injuries may require transfer to a Level I center. ",https://publications.gha.org/Home/GHAFactBook/MapsandLists/DesignatedTraumaCenters/TraumaCareLevelDescriptions.aspx,2016-05-23T00:00:00.000Z
48,GA,III PEDIATRIC,"Provides pediatric trauma assessment, resuscitation, emergency surgery, stabilization and if needed, transfer of patients requiring more definitive care to Level II or I centers.",https://publications.gha.org/Home/GHAFactBook/MapsandLists/DesignatedTraumaCenters/TraumaCareLevelDescriptions.aspx,2016-05-23T00:00:00.000Z
49,HI,II,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://data.hawaii.gov/Health/Hospitals-in-Hawaii/rwns-g4bn,2016-07-25T00:00:00.000Z
50,HI,III,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://data.hawaii.gov/Health/Hospitals-in-Hawaii/rwns-g4bn,2016-07-25T00:00:00.000Z
51,IA,I,Level I Trauma Center is a comprehensive regional resource that is a tertiary care facility central to the trauma system. A Level I Trauma Center is capable of providing total care for every aspect of injury – from prevention through rehabilitation.,http://idph.iowa.gov/Portals/1/userfiles/61/Trauma%20Care%20Facility%20Directory%202016.pdf,2016-05-23T00:00:00.000Z
52,IA,II,A Level II Trauma Center is able to initiate definitive care for all injured patients.,https://idph.iowa.gov/Portals/1/Files/BETS/Iowa%20Trauma%20System%20Regional%20%28Level%20II%29%20Hospital%20and%20Emergency%20Care%20Facility%20Categorization%20Criteria%20%282013%29.pdf,2016-05-23T00:00:00.000Z
53,IA,III,"A Level III Trauma Center has demonstrated an ability to provide prompt assessment, resuscitation, surgery, intensive care and stabilization of injured patients and emergency operations.",https://idph.iowa.gov/Portals/1/Files/BETS/Iowa%20Trauma%20System%20Area%20(Level%20III)%20Hospital%20and%20Emergency%20Care%20Facility%20Categorization%20Criteria%20(2013).pdf,2016-05-23T00:00:00.000Z
54,IA,IV,"A Level IV Trauma Center has demonstrated an ability to provide advanced trauma life support (ATLS) prior to transfer of patients to a higher level trauma center.  It provides evaluation, stabilization, and diagnostic capabilities for injured patients.",https://www.idph.iowa.gov/Portals/1/Files/BETS/Iowa%20Trauma%20System%20Community%20(Level%20IV)%20Hospital%20and%20Emergency%20Care%20Facility%20Categorization%20Criteria%20(2013).pdf,2016-05-23T00:00:00.000Z
55,IA,I PEDIATRIC, Capable of providing total care for every aspect of pediatric injury – from prevention through rehabilitation.,http://idph.iowa.gov/Portals/1/userfiles/61/Trauma%20Care%20Facility%20Directory%202016.pdf,2016-05-23T00:00:00.000Z
56,IA,II PEDIATRIC,Able to initiate definitive care for all injured pediatric patients.,http://idph.iowa.gov/Portals/1/userfiles/61/Trauma%20Care%20Facility%20Directory%202016.pdf,2016-05-23T00:00:00.000Z
57,ID,II,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://healthandwelfare.idaho.gov/Portals/0/Medical/LicensingCertification/AlphaHospital.pdf,2016-04-19T00:00:00.000Z
58,ID,III,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://healthandwelfare.idaho.gov/Portals/0/Medical/LicensingCertification/AlphaHospital.pdf,2016-04-19T00:00:00.000Z
59,IL,I,"A hospital participating in an approved EMS System and designated by the Illinois Department of Public Health to provide optimal care to trauma patients and to provide all essential services in-house, 24 hours per day",https://www.ihatoday.org/uploadDocs/1/trauma.pdf,2016-05-23T00:00:00.000Z
60,IL,II,"A hospital participating in an approved EMS System and designated by the Illinois Department of Public Health to provide optimal care to trauma patients, to provide some essential services available in-house 24 hours per day, and to provide other essential services readily available 24 hours a day",https://www.ihatoday.org/uploadDocs/1/trauma.pdf,2016-05-23T00:00:00.000Z
61,IL,I PEDIATRIC,"A hospital participating in an approved EMS System and designated by the Illinois Department of Public Health to provide optimal care to pediatric trauma patients and to provide all essential services in-house, 24 hours per day",https://www.ihatoday.org/uploadDocs/1/trauma.pdf,2016-05-23T00:00:00.000Z
62,IL,II PEDIATRIC,"A hospital participating in an approved EMS System and designated by the Illinois Department of Public Health to provide optimal care to pediatric trauma patients, to provide some essential services available in-house 24 hours per day, and to provide other essential services readily available 24 hours a day",https://www.ihatoday.org/uploadDocs/1/trauma.pdf,2016-05-23T00:00:00.000Z
63,IN,I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education",http://www.state.in.us/isdh/24972.htm,2016-05-24T00:00:00.000Z
64,IN,II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://www.state.in.us/isdh/24972.htm,2016-05-24T00:00:00.000Z
65,IN,III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities.",http://www.state.in.us/isdh/24972.htm,2016-05-24T00:00:00.000Z
66,IN,I PEDIATRIC,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education in pediatric care.",http://www.state.in.us/isdh/24972.htm,2016-05-24T00:00:00.000Z
67,IN,II PEDIATRIC,"A Level II Trauma Center provides comprehensive pediatric trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://www.state.in.us/isdh/24972.htm,2016-05-24T00:00:00.000Z
68,KS,I,"A hospital that has the capability to provide the highest level of trauma care for every aspect of injury, from prevention through rehabilitation.",http://www.kstrauma.org/download/KS_Register_Publication_of_Administrative_Regs.pdf,2016-05-24T00:00:00.000Z
69,KS,II,"A hospital that provides initial trauma care, but is not necessarily able to provide the same comprehensive care as that provided by a level I trauma center, and doesn't have trauma research as a primary objective",http://www.kstrauma.org/download/KS_Register_Publication_of_Administrative_Regs.pdf,2016-05-24T00:00:00.000Z
70,KS,III,A hospital that provides initial trauma care or arranges for the appropriate transfer of trauma patients to a level I trauma center or a level II trauma center.,http://www.kstrauma.org/download/KS_Register_Publication_of_Administrative_Regs.pdf,2016-05-24T00:00:00.000Z
71,KS,IV,"A hospital that provides urgent care for injured persons and the timely transfer of the seriously injured to a level I trauma center, level II trauma center, or level III trauma center as appropriate",http://www.kstrauma.org/download/KS_Register_Publication_of_Administrative_Regs.pdf,2016-05-24T00:00:00.000Z
72,KY,I,"Provides screening and initial trauma care of the injured patient regardless of the severity of injury; emphasis on research and education",http://www.kyha.com/docs/TraumaDocs/902KARChapter28MarkedUp.pdf,2016-05-24T00:00:00.000Z
73,KY,II,Provides screening and initial trauma care of the injured patient regardless of the severity of injury,http://www.kyha.com/docs/TraumaDocs/902KARChapter28MarkedUp.pdf,2016-05-24T00:00:00.000Z
74,KY,III,"Provides prompt assessment, resuscitation, emergency operations and stabilization; Arranges for transfer to a facility that can provide trauma care at a higher level; Serves communities that do not have immediate access to a Level I or Level II trauma center",http://www.kyha.com/docs/TraumaDocs/902KARChapter28MarkedUp.pdf,2016-05-24T00:00:00.000Z
75,KY,IV,"Provides advanced trauma life support before a patient is transferred to a higher level of care; Is located in a hospital emergency department",http://www.kyha.com/docs/TraumaDocs/902KARChapter28MarkedUp.pdf,2016-05-24T00:00:00.000Z
76,KY,I PEDIATRIC,"Provides screening and initial trauma care of the injured pediatric patient regardless of the severity of injury; emphasis on research and education",http://www.kyha.com/docs/TraumaDocs/902KARChapter28MarkedUp.pdf,2016-05-24T00:00:00.000Z
77,LA,I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education",http://lern.la.gov/trauma/state-designated-trauma-centers/,2016-05-25T00:00:00.000Z
78,LA,II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://lern.la.gov/trauma/state-designated-trauma-centers/,2016-05-25T00:00:00.000Z
79,LA,III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities.",http://lern.la.gov/trauma/state-designated-trauma-centers/,2016-05-25T00:00:00.000Z
80,MA,I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/oems/trauma-data/public-health-oems-trauma-center-verification.html,2016-05-25T00:00:00.000Z
81,MA,II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/oems/trauma-data/public-health-oems-trauma-center-verification.html,2016-05-25T00:00:00.000Z
82,MA,III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities.",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/oems/trauma-data/public-health-oems-trauma-center-verification.html,2016-05-25T00:00:00.000Z
83,MA,I PEDIATRIC,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Pediatric Trauma Center is responsible for providing leadership in research, professional and community education.",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/oems/trauma-data/public-health-oems-trauma-center-verification.html,2016-05-25T00:00:00.000Z
84,MA,II PEDIATRIC,"A Level II Trauma Center provides comprehensive pediatric trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/oems/trauma-data/public-health-oems-trauma-center-verification.html,2016-05-25T00:00:00.000Z
85,MD,PARC,"Primary Adult Resource Center; Fellowship Training in Trauma and 24 hour dedicated facilities and specialty surgeons.",http://www.miemss.org/home/hospitals/trauma-centers,2016-05-25T00:00:00.000Z
86,MD,I,"A Level I Trauma Center is responsible for providing leadership in research, professional and community education",http://www.miemss.org/home/hospitals/trauma-centers,2016-05-25T00:00:00.000Z
87,MD,II,"A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://www.miemss.org/home/hospitals/trauma-centers,2016-05-25T00:00:00.000Z
88,MD,III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available.",http://www.miemss.org/home/hospitals/trauma-centers,2016-05-25T00:00:00.000Z
89,MD,PEDIATRIC,"A Pediatric Trauma Center has the capability of providing leadership and comprehensive, definitive pediatric trauma care for the most severely injured children within its geographic area.",http://www.miemss.org/home/hospitals/trauma-centers,2016-05-25T00:00:00.000Z
90,ME,REGIONAL TRAUMA CENTER,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://gateway.maine.gov/dhhs-apps/aspen/facility_list.asp,2016-06-24T00:00:00.000Z
91,ME,TRAUMA SYSTEM HOSPITAL,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://gateway.maine.gov/dhhs-apps/aspen/facility_list.asp,2016-06-24T00:00:00.000Z
92,MI,I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education",http://www.michigan.gov/documents/mdch/Michigan_Criteria_FINAL.8.6.14_465535_7.pdf,2016-05-26T00:00:00.000Z
93,MI,II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://www.michigan.gov/documents/mdch/Michigan_Criteria_FINAL.8.6.14_465535_7.pdf,2016-05-26T00:00:00.000Z
