"","NAME","TYPE","STATUS","LAT","LON","STAT2"
"58","WYOMING COUNTY COMMUNITY HOSPITAL","GENERAL ACUTE CARE","OPEN",42.75430004,-78.1310725,"OPEN"
"59","BROOKDALE HOSPITAL MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",40.6552691,-73.91255653,"OPEN"
"60","BROOKLYN HOSPITAL CENTER","GENERAL ACUTE CARE","OPEN",40.69057251,-73.97788376,"OPEN"
"61","MONTEFIORE WESTCHESTER SQUARE MEDICAL CENTER","GENERAL ACUTE CARE","CLOSED",40.84074311,-73.84851753,"OPEN"
"62","KINGS COUNTY HOSPITAL CENTER","GENERAL ACUTE CARE","OPEN",40.65661638,-73.94469079,"OPEN"
"63","CONEY ISLAND HOSPITAL","GENERAL ACUTE CARE","OPEN",40.58541438,-73.96533243,"OPEN"
"64","LONG ISLAND COLLEGE HOSPITAL","GENERAL ACUTE CARE","CLOSED",40.69059527,-73.99787756,"OPEN"
"65","MAIMONIDES MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",40.63947888,-73.99845264,"OPEN"
"66","HARRISON MEMORIAL HOSPITAL","GENERAL ACUTE CARE","OPEN",38.38396873,-84.27768646,"OPEN"
"67","NYU LUTHERAN MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",40.64656399,-74.02091469,"OPEN"
"68","NEW YORK METHODIST HOSPITAL","GENERAL ACUTE CARE","OPEN",40.6677617,-73.97899052,"OPEN"
"69","INTERFAITH MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",40.67823304,-73.93736834,"OPEN"
"70","WYCKOFF HEIGHTS MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",40.70396404,-73.9177637,"OPEN"
"71","NYU HOSPITAL FOR JOINT DISEASES","GENERAL ACUTE CARE","OPEN",40.73443169,-73.98299996,"OPEN"
"72","HOSPITAL FOR SPECIAL SURGERY","SPECIAL","OPEN",40.76492338,-73.95231485,"OPEN"
"73","LENOX HILL HOSPITAL","GENERAL ACUTE CARE","OPEN",40.77370268,-73.96089077,"OPEN"
"74","METROPOLITAN HOSPITAL CENTER","GENERAL ACUTE CARE","OPEN",40.78492694,-73.94453023,"OPEN"
"75","NEW YORK EYE AND EAR INFIRMARY","SPECIAL","OPEN",40.73185306,-73.98448331,"OPEN"
"76","NEW YORK PRESBYTERIAN MORGAN STANLEY CHILDREN S HOSPITAL","CHILDREN","OPEN",40.83976326,-73.94128258,"OPEN"
"77","MOUNT SINAI HOSPITAL","GENERAL ACUTE CARE","OPEN",40.78976753,-73.95321427,"OPEN"
"78","THE ADDICTION INSTITUTE OF NEW YORK","PSYCHIATRIC","CLOSED",40.76941213,-73.9868084,"OPEN"
"79","GRACIE SQUARE HOSPITAL","PSYCHIATRIC","OPEN",40.7697165,-73.95302135,"OPEN"
"80","COLER-GOLDWATER SPECIALTY HOSPITAL & NURSING FACILITY - COLER HOSPITAL SITE","LONG TERM CARE","OPEN",40.77030214,-73.94214388,"OPEN"
"81","RICHMOND UNIVERSITY MEDICAL CENTER - BAYLEY SETON CAMPUS","PSYCHIATRIC","OPEN",40.62242782,-74.0753546,"OPEN"
"82","GOLDWATER SPECIALTY HOSPITAL","GENERAL ACUTE CARE","CLOSED",40.75483575,-73.95628185,"OPEN"
"83","FLUSHING HOSPITAL MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",40.75540992,-73.81646552,"OPEN"
"84","QUEENS HOSPITAL CENTER","GENERAL ACUTE CARE","OPEN",40.71707221,-73.80455619,"OPEN"
"85","ELMHURST HOSPITAL CENTER","GENERAL ACUTE CARE","OPEN",40.74482736,-73.88607967,"OPEN"
"86","JAMAICA HOSPITAL MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",40.70010365,-73.81611489,"OPEN"
"87","ST. JOHN S EPISCOPAL HOSPITAL-SOUTH SHORE","GENERAL ACUTE CARE","OPEN",40.59870798,-73.75355062,"OPEN"
"88","MEMORIAL HOSPITAL OF CARBONDALE","GENERAL ACUTE CARE","OPEN",37.72744555,-89.22059253,"OPEN"
"89","IROQUOIS MEMORIAL HOSPITAL","GENERAL ACUTE CARE","OPEN",40.76560189,-87.73251748,"OPEN"
"90","HOOPESTON COMMUNITY MEMORIAL HOSPITAL","CRITICAL ACCESS","OPEN",40.45868989,-87.65973327,"OPEN"
"91","TRIGG COUNTY HOSPITAL INC.","GENERAL ACUTE CARE","OPEN",36.86634023,-87.82153878,"OPEN"
"92","METHODIST HOSPITAL UNION COUNTY","GENERAL ACUTE CARE","OPEN",37.62879646,-87.94765598,"OPEN"
"93","PRESENCE UNITED SAMARITANS MEDCTR-LOGAN","GENERAL ACUTE CARE","OPEN",40.13783245,-87.64543324,"OPEN"
"94","VETERANS AFFAIRS ILLIANA HEALTH CARE SYSTEM","MILITARY","OPEN",40.12327171,-87.58695313,"OPEN"
"95","GREENVIEW REGIONAL HOSPITAL","GENERAL ACUTE CARE","OPEN",36.96503762,-86.43597977,"OPEN"
"96","RIVENDELL BEHAVIORAL HEALTH SERVICES","PSYCHIATRIC","OPEN",36.99707201,-86.38313695,"OPEN"
"97","SOUTHERN KENTUCKY REHABILITATION HOSPITAL","REHABILITATION","OPEN",36.95703881,-86.44648889,"OPEN"
"98","THE MEDICAL CENTER AT BOWLING GREEN","GENERAL ACUTE CARE","OPEN",36.99597151,-86.42975938,"OPEN"
"99","FOREST HILLS HOSPITAL","GENERAL ACUTE CARE","OPEN",40.72899467,-73.85150671,"OPEN"
"100","WOODHULL MEDICAL AND MENTAL HEALTH CENTER","GENERAL ACUTE CARE","OPEN",40.69952267,-73.94237898,"OPEN"
"101","NEW YORK HOSPITAL QUEENS","GENERAL ACUTE CARE","OPEN",40.74677228,-73.82541638,"OPEN"
"102","RICHMOND UNIVERSITY MEDICAL CENTER - MAIN CAMPUS","GENERAL ACUTE CARE","OPEN",40.63590241,-74.1059378,"OPEN"
"103","STATEN ISLAND UNIVERSITY HOSPITAL - NORTH","GENERAL ACUTE CARE","OPEN",40.58498461,-74.08621989,"OPEN"
"104","MILLARD FILLMORE SUBURBAN HOSPITAL","GENERAL ACUTE CARE","OPEN",42.99403948,-78.73023829,"OPEN"
"105","ALBANY MEMORIAL HOSPITAL","GENERAL ACUTE CARE","OPEN",42.67418337,-73.748675,"OPEN"
"106","BELLEVUE HOSPITAL CENTER","GENERAL ACUTE CARE","OPEN",40.7393201,-73.97538175,"OPEN"
"107","WEST BRANCH REGIONAL MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",44.26380231,-84.24430076,"OPEN"
"108","BRONX-LEBANON HOSPITAL CENTER - CONCOURSE DIVISION","GENERAL ACUTE CARE","OPEN",40.84349255,-73.91114695,"OPEN"
"109","ELLIS HOSPITAL","GENERAL ACUTE CARE","OPEN",42.81985762,-73.91731809,"OPEN"
"110","GLEN COVE HOSPITAL","GENERAL ACUTE CARE","OPEN",40.8710014,-73.62238567,"OPEN"
"111","KINGSBROOK JEWISH MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",40.65944045,-73.93354531,"OPEN"
"112","LENOX HILL HEALTHPLEX","GENERAL ACUTE CARE","CLOSED",40.73773991,-74.00074457,"OPEN"
"113","LONG ISLAND JEWISH MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",40.75434328,-73.70810636,"OPEN"
"114","MERCY HOSPITAL - MERCY HOSPITAL ORCHARD PARK DIVISION","GENERAL ACUTE CARE","OPEN",42.78054509,-78.77257279,"OPEN"
"115","EPHRAIM MCDOWELL FORT LOGAN HOSPITAL","CRITICAL ACCESS","OPEN",37.54279432,-84.65303656,"OPEN"
"116","WHITESBURG ARH HOSPITAL","GENERAL ACUTE CARE","OPEN",37.11292722,-82.81252179,"OPEN"
"117","MOHAWK VALLEY HEART INSTITUTE  INC","SPECIAL","OPEN",43.08149046,-75.26660171,"OPEN"
"118","MONTEFIORE MOUNT VERNON HOSPITAL","GENERAL ACUTE CARE","OPEN",40.91289836,-73.840562,"OPEN"
"119","MARY BRECKINRIDGE ARH HOSPITAL","CRITICAL ACCESS","OPEN",37.16410598,-83.37858386,"OPEN"
"120","LIVINGSTON HOSPITAL AND HEALTHCARE SERVICES","CRITICAL ACCESS","OPEN",37.26305319,-88.22850246,"OPEN"
"121","MONTEFIORE NEW ROCHELLE HOSPITAL","GENERAL ACUTE CARE","OPEN",40.91280606,-73.7877626,"OPEN"
"122","MOUNT SINAI BETH ISRAEL BROOKLYN","GENERAL ACUTE CARE","OPEN",40.6188201,-73.94290124,"OPEN"
"123","MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL OF QUEENS","GENERAL ACUTE CARE","OPEN",40.76829506,-73.92488434,"OPEN"
"124","NEW YORK PRESBYTERIAN HOSPITAL - ALLEN HOSPITAL","GENERAL ACUTE CARE","OPEN",40.87327524,-73.91305033,"OPEN"
"125","NEW YORK PRESBYTERIAN HOSPITAL - WESTCHESTER DIVISION","PSYCHIATRIC","OPEN",41.02757951,-73.75390988,"OPEN"
"126","NEWYORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL","GENERAL ACUTE CARE","OPEN",41.29246466,-73.89260099,"OPEN"
"127","NICHOLAS H NOYES MEMORIAL HOSPITAL","GENERAL ACUTE CARE","OPEN",42.55302525,-77.69777078,"OPEN"
"128","NORTHERN DUTCHESS HOSPITAL","GENERAL ACUTE CARE","OPEN",41.93547004,-73.91319583,"OPEN"
"129","CROUSE HOSPITAL - COMMONWEALTH DIVISION","SPECIAL","OPEN",43.09843904,-76.10738979,"OPEN"
"130","ONEIDA HEALTHCARE","GENERAL ACUTE CARE","OPEN",43.07770601,-75.65449007,"OPEN"
"131","OSWEGO HOSPITAL - ALVIN L KRAKAU COMM MTL HEALTH CENTER DIV","PSYCHIATRIC","OPEN",43.448562,-76.48991686,"OPEN"
"132","ROCKEFELLER UNIVERSITY HOSPITAL","GENERAL ACUTE CARE","OPEN",40.76304744,-73.95462317,"OPEN"
"133","HARLEM HOSPITAL CENTER","GENERAL ACUTE CARE","OPEN",40.81426493,-73.93986126,"OPEN"
"134","HENRY J. CARTER SPECIALTY HOSPITAL","LONG TERM CARE","OPEN",40.80328511,-73.94162385,"OPEN"
"135","SBH HEALTH SYSTEM","GENERAL ACUTE CARE","OPEN",40.85268901,-73.89136288,"OPEN"
"136","IRA DAVENPORT MEMORIAL HOSPITAL INC","GENERAL ACUTE CARE","OPEN",42.3743292,-77.27890663,"OPEN"
"137","JOHN T MATHER MEMORIAL HOSPITAL OF PORT JEFFERSON NEW YORK INC","GENERAL ACUTE CARE","OPEN",40.9390674,-73.05439851,"OPEN"
"138","ST. MARY S HEALTHCARE - AMSTERDAM MEMORIAL CAMPUS","GENERAL ACUTE CARE","OPEN",42.95906517,-74.18712293,"OPEN"
"139","ST. PETER S ADDICTION RECOVERY CENTER","REHABILITATION","OPEN",42.69962755,-73.90522461,"OPEN"
"140","THE BURDETT CARE CENTER","WOMEN","OPEN",42.73335775,-73.67266608,"OPEN"
"141","MEMORIAL HOSPITAL ASSOCIATION","CRITICAL ACCESS","OPEN",40.40799681,-91.11326503,"OPEN"
"142","MORRIS HOSPITAL & HEALTHCARE CENTERS","GENERAL ACUTE CARE","OPEN",41.3693259,-88.42675331,"OPEN"
"143","THOMAS H BOYD MEMORIAL HOSPITAL","CRITICAL ACCESS","OPEN",39.29680259,-90.41276401,"OPEN"
"144","ADVOCATE EUREKA  HOSPITAL","CRITICAL ACCESS","OPEN",40.72138986,-89.27158643,"OPEN"
"145","VAN MATRE REHABILITATION HOSPITAL","REHABILITATION","OPEN",42.25854854,-88.9971556,"OPEN"
"146","SWEDISH AMERICAN HOSPITAL","GENERAL ACUTE CARE","OPEN",42.26567488,-89.07413954,"OPEN"
"147","THE UNITY HOSPITAL OF ROCHESTER","GENERAL ACUTE CARE","OPEN",43.19291838,-77.70515091,"OPEN"
"148","ROCKFORD MEMORIAL HOSPITAL","GENERAL ACUTE CARE","OPEN",42.29842717,-89.09844135,"OPEN"
"149","HERRIN HOSPITAL","GENERAL ACUTE CARE","OPEN",37.8010121,-89.02631327,"OPEN"
"150","HEARTLAND REGIONAL MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",37.74284317,-88.99133558,"OPEN"
"151","THE UNITY HOSPITAL OF ROCHESTER-ST MARYS CAMPUS","PSYCHIATRIC","OPEN",43.14869528,-77.63709975,"OPEN"
"152","MEDSTAR SAINT MARY S HOSPITAL","GENERAL ACUTE CARE","OPEN",38.30213763,-76.63827028,"OPEN"
"153","MID-HUDSON VALLEY DIVISION OF WESTCHESTER MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",41.71783839,-73.92770935,"OPEN"
"154","MONTEFIORE MED CENTER - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV","GENERAL ACUTE CARE","OPEN",40.84988921,-73.84589022,"OPEN"
"155","THE UNIVERSITY OF VERMONT HEALTH NETWORK - CHAMPLAIN VALLEY PHYSICIANS HOSPITAL","GENERAL ACUTE CARE","OPEN",44.70044304,-73.46941987,"OPEN"
"156","TRI TOWN REGIONAL HEALTHCARE","GENERAL ACUTE CARE","OPEN",42.3041547,-75.39546902,"OPEN"
"157","MONTEFIORE MEDICAL CENTER-WAKEFIELD HOSPITAL","GENERAL ACUTE CARE","OPEN",40.89369717,-73.86119119,"OPEN"
"158","MOUNT SINAI WEST","GENERAL ACUTE CARE","OPEN",40.76982061,-73.9874019,"OPEN"
"159","MARION IL VA MEDICAL CENTER","MILITARY","OPEN",37.72431427,-88.954816,"OPEN"
"160","HOLY CROSS HOSPITAL","GENERAL ACUTE CARE","OPEN",39.01472214,-77.03573523,"OPEN"
"161","SILVER CROSS HOSPITAL  AND MEDICAL CENTERS","GENERAL ACUTE CARE","OPEN",41.54468733,-87.98343597,"OPEN"
"162","ADVENTIST BOLINGBROOK HOSPITAL","GENERAL ACUTE CARE","OPEN",41.68086496,-88.08465144,"OPEN"
"163","FORT WASHINGTON HOSPITAL","GENERAL ACUTE CARE","OPEN",38.72856337,-76.99270169,"OPEN"
"164","DEBORAH HEART AND LUNG CENTER","SPECIAL","OPEN",39.97725682,-74.58514441,"OPEN"
"165","MARLTON REHABILITATION HOSPITAL","REHABILITATION","OPEN",39.88243807,-74.91813873,"OPEN"
"166","CGH MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",41.80220562,-89.69665558,"OPEN"
"167","DOCTORS  COMMUNITY HOSPITAL","GENERAL ACUTE CARE","OPEN",38.98269454,-76.8652504,"OPEN"
"168","MOUNT SINAI ST. LUKE S","GENERAL ACUTE CARE","OPEN",40.80492254,-73.96159035,"OPEN"
"169","NEW YORK PRESBYTERIAN HOSPITAL - COLUMBIA PRESBYTERIAN CENTER","GENERAL ACUTE CARE","OPEN",40.84105288,-73.94068652,"OPEN"
"170","NEW YORK PRESBYTERIAN HOSPITAL - NEW YORK WEILL CORNELL CENTER","GENERAL ACUTE CARE","OPEN",40.76454994,-73.95433226,"OPEN"
"171","UNITED MEMORIAL MEDICAL CENTER NORTH STREET CAMPUS","GENERAL ACUTE CARE","OPEN",43.00506087,-78.17663186,"OPEN"
"172","UNIVERSITY HOSPITAL OF BROOKLYN","GENERAL ACUTE CARE","OPEN",40.65484188,-73.94422785,"OPEN"
"173","NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL","GENERAL ACUTE CARE","OPEN",40.71051679,-74.00529783,"OPEN"
"174","NYU HOSPITALS CENTER","GENERAL ACUTE CARE","OPEN",40.7420469,-73.97392933,"OPEN"
"175","NYULMC - COBBLE HILL","GENERAL ACUTE CARE","CLOSED",40.68987342,-73.99776571,"OPEN"
"176","URMC STRONG WEST","GENERAL ACUTE CARE","OPEN",43.22161178,-77.94457511,"OPEN"
"177","SJRH - ST JOHNS DIVISION","GENERAL ACUTE CARE","OPEN",40.96891353,-73.88614692,"OPEN"
"178","WINIFRED MASTERSON BURKE REHABILITATION HOSPITAL","REHABILITATION","OPEN",41.01680868,-73.7515055,"OPEN"
"179","ST JAMES MERCY HOSPITAL - MERCYCARE","GENERAL ACUTE CARE","CLOSED",42.34748774,-77.66309791,"OPEN"
"180","ST JOSEPH S MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",40.92925602,-73.89769468,"OPEN"
"181","WOMEN AND CHILDREN S HOSPITAL OF BUFFALO","CHILDREN","OPEN",42.90920851,-78.87520901,"OPEN"
"182","STATEN ISLAND UNIV HOSP-CONCORD DIV","GENERAL ACUTE CARE","CLOSED",40.60306403,-74.09182025,"OPEN"
"183","WINTHROP-UNIVERSITY HOSPITAL","GENERAL ACUTE CARE","OPEN",40.74069748,-73.6430084,"OPEN"
"184","WOMANS CHRISTIAN ASSOC HOSPITAL - WCA HOSP AT JONES MEMORIAL HEALTH CENTER","PSYCHIATRIC","OPEN",42.09116724,-79.24536584,"OPEN"
"185","ADIRONDACK MEDICAL CENTER-LAKE PLACID SITE","GENERAL ACUTE CARE","CLOSED",44.26724503,-73.98186928,"OPEN"
"186","MARY IMOGENE BASSETT HOSPITAL","GENERAL ACUTE CARE","OPEN",42.69525514,-74.92295557,"OPEN"
"187","CORNING HOSPITAL","GENERAL ACUTE CARE","OPEN",42.13535079,-76.96951777,"OPEN"
"188","MOUNT SINAI BETH ISRAEL","GENERAL ACUTE CARE","OPEN",40.73310481,-73.98177078,"OPEN"
"189","SJRH - PARK CARE PAVILION","PSYCHIATRIC","OPEN",40.94038607,-73.89165239,"OPEN"
"190","TLC HEALTH NETWORK LAKE SHORE HOSPITAL","GENERAL ACUTE CARE","OPEN",42.55848862,-79.12583875,"OPEN"
"191","ST JOSEPHS HOSPITAL","GENERAL ACUTE CARE","OPEN",42.09195035,-76.7984345,"OPEN"
"192","KELLER ARMY COMMUNITY HOSPITAL","MILITARY","OPEN",41.40187124,-73.97713704,"OPEN"
"193","VA MEDICAL CENTER - BATAVIA","MILITARY","OPEN",43.0133403,-78.19787395,"OPEN"
"194","VA MEDICAL CENTER - ALBANY STRATTON","MILITARY","OPEN",42.65080818,-73.7719446,"OPEN"
"195","VA MEDICAL CENTER - BATH","MILITARY","OPEN",42.34405241,-77.34750919,"OPEN"
"196","VA MEDICAL CENTER - BUFFALO","MILITARY","OPEN",42.95109263,-78.81215039,"OPEN"
"197","VA MEDICAL CENTER - CANANDAIGUA","MILITARY","OPEN",42.90123744,-77.26963606,"OPEN"
"198","VA MEDICAL CENTER - CASTLE POINT CAMPUS","MILITARY","OPEN",41.54362128,-73.96337745,"OPEN"
"199","VA MEDICAL CENTER - MONTROSE CAMPUS","MILITARY","OPEN",41.23701881,-73.92928204,"OPEN"
"200","JAMES J. PETERS VA MEDICAL CENTER","MILITARY","OPEN",40.86734866,-73.90638209,"OPEN"
"201","VA MEDICAL CENTER - MANHATTAN CAMPUS","MILITARY","OPEN",40.73688147,-73.97707927,"OPEN"
"202","VA MEDICAL CENTER - NORTHPORT","MILITARY","OPEN",40.89367574,-73.30869305,"OPEN"
"203","VA MEDICAL CENTER - SYRACUSE","MILITARY","OPEN",43.0388312,-76.13895418,"OPEN"
"204","VA MEDICAL CENTER - BROOKLYN CAMPUS","MILITARY","OPEN",40.60792285,-74.02418643,"OPEN"
"205","ST. ALBANS COMMUNITY LIVING CENTER","MILITARY","OPEN",40.69064667,-73.76867577,"OPEN"
"206","MALLARD FILLMORE GATES","GENERAL ACUTE CARE","CLOSED",42.91923203,-78.8671111,"OPEN"
"207","CAPITAL DISTRICT PSYCHIATRIC CENTER","PSYCHIATRIC","OPEN",42.65449071,-73.78020285,"OPEN"
"208","ST JOHN S EPISCOPAL HOSPITAL SOUTH SHORE","GENERAL ACUTE CARE","OPEN",40.74381418,-73.49679139,"OPEN"
"209","BRUNSWICK HOSPITAL CENTER  INC","PSYCHIATRIC","OPEN",40.68523661,-73.42114535,"OPEN"
"210","BRYLIN HOSPITAL","PSYCHIATRIC","OPEN",42.91841783,-78.86800239,"OPEN"
"211","CAPE REGIONAL MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",39.08761376,-74.81717152,"OPEN"
"212","THE LONG ISLAND HOME","PSYCHIATRIC","OPEN",40.68576604,-73.42263251,"OPEN"
"213","FOUR WINDS HOSPITAL WESTCHESTER","PSYCHIATRIC","OPEN",41.26639132,-73.62071751,"OPEN"
"214","FOUR WINDS HOSPITAL SARATOGA","PSYCHIATRIC","OPEN",43.05813047,-73.78539606,"OPEN"
"215","METHODIST HOSPITAL","GENERAL ACUTE CARE","OPEN",37.85497461,-87.58319902,"OPEN"
"216","CROSSROADS COMMUNITY HOSPITAL","GENERAL ACUTE CARE","OPEN",38.31164516,-88.93688084,"OPEN"
