Y,Y,OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIP4,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,BEDS,TRAUMA,,STATUS,
-72.97714065,40.78005719,7011,11711772,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,PATCHOGUE,NY,11772,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,306,SUFFOLK,36103,USA,40.78005719,-72.97714065,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,306,AREA,,,OPEN
-72.37994406,40.88505974,7012,11811968,SOUTHAMPTON HOSPITAL,SOUTHAMPTON,NY,11968,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,125,SUFFOLK,36103,USA,40.88505974,-72.37994406,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,125,PROVISIONAL LEVEL III,,,OPEN
-72.36112732,41.11036057,7013,11911901,EASTERN LONG ISLAND HOSPITAL,GREENPORT,NY,11901,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,90,SUFFOLK,36103,USA,41.11036057,-72.36112732,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,90,NOT AVAILABLE,,,OPEN
-73.41619953,40.87932924,7014,12211743,HUNTINGTON HOSPITAL,HUNTINGTON,NY,11743,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,408,SUFFOLK,36103,USA,40.87932924,-73.41619953,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,408,AREA,,,OPEN
-73.24115864,40.72596015,7015,12311706,SOUTHSIDE HOSPITAL,BAY SHORE,NY,11706,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,321,SUFFOLK,36103,USA,40.72596015,-73.24115864,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,321,II,,,OPEN
-72.67362495,40.93426399,7016,12411901,PECONIC BAY MEDICAL CENTER,RIVERHEAD,NY,11901,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,140,SUFFOLK,36103,USA,40.93426399,-72.67362495,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,140,NOT AVAILABLE,,,OPEN
-73.06096322,40.94663123,7017,12511507,ST CHARLES HOSPITAL AND REHABILITATION CENTER,PORT JEFFERSON,NY,11507,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,243,SUFFOLK,36103,USA,40.94663123,-73.06096322,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,243,NOT AVAILABLE,,,OPEN
-84.54138894,38.04697243,7018,840504,CARDINAL HILL REHABILITATION HOSPITAL,LEXINGTON,KY,40504,NOT AVAILABLE,REHABILITATION,OPEN,158,FAYETTE,21067,USA,38.04697243,-84.54138894,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,158,NOT AVAILABLE,,,OPEN
-83.75154531,38.42215105,7019,2341041,FLEMING COUNTY HOSPITAL,FLEMINGSBURG,KY,41041,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,52,FLEMING,21069,USA,38.42215105,-83.75154531,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,52,NOT AVAILABLE,,,OPEN
-84.51185771,38.01880519,7020,1240503,BAPTIST HEALTH LEXINGTON,LEXINGTON,KY,40503,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,344,FAYETTE,21067,USA,38.01880519,-84.51185771,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,391,NOT AVAILABLE,,,OPEN
-84.49856874,38.06030326,7021,1940508,EASTERN STATE HOSPITAL,LEXINGTON,KY,40508,NOT AVAILABLE,PSYCHIATRIC,OPEN,195,FAYETTE,21067,USA,38.06030326,-84.49856874,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,195,NOT AVAILABLE,,,OPEN
-73.22299673,40.86850019,7022,12611787,ST. CATHERINE OF SIENA MEDICAL CENTER,SMITHTOWN,NY,11787,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,306,SUFFOLK,36103,USA,40.86850019,-73.22299673,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,306,NOT AVAILABLE,,,OPEN
-84.43915499,37.9994201,7023,9040509,SAINT JOSEPH EAST,LEXINGTON,KY,40509,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,217,FAYETTE,21067,USA,37.9994201,-84.439155,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,217,NOT AVAILABLE,,,OPEN
-84.52329929,38.03233973,7024,9140504,SAINT JOSEPH HOSPITAL,LEXINGTON,KY,40504,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,433,FAYETTE,21067,USA,38.03233973,-84.52329929,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,433,NOT AVAILABLE,,,OPEN
-84.47269852,38.02270661,7025,9540502,SHRINERS HOSPITAL FOR CHILDREN,LEXINGTON,KY,40502,NOT AVAILABLE,CHILDREN,OPEN,50,FAYETTE,21067,USA,38.02270661,-84.47269852,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,50,NOT AVAILABLE,,,OPEN
-76.53748416,42.46898507,7026,12714850,CAYUGA MEDICAL CENTER,ITHACA,NY,14850,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,212,TOMPKINS,36109,USA,42.46898507,-76.53748416,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,212,NOT AVAILABLE,,,OPEN
-73.29439462,40.69388013,7027,12810901,GOOD SAMARITAN HOSPITAL - WEST ISLIP,WEST ISLIP,NY,10901,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,437,SUFFOLK,36103,USA,40.69388013,-73.29439462,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,437,PROVISIONAL LEVEL II,,,OPEN
-75.04741551,41.74029193,7028,12912723,GROVER M. HERMAN HOSPITAL,CALLICOON,NY,12723,NOT AVAILABLE,CRITICAL ACCESS,OPEN,15,SULLIVAN,36105,USA,41.74029193,-75.04741551,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,15,NOT AVAILABLE,,,OPEN
-73.99968712,41.92149416,7029,13012401,HEALTHALLIANCE HOSPITAL - MARY S AVENUE CAMPSU,KINGSTON,NY,12401,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,150,ULSTER,36111,USA,41.92149416,-73.99968712,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,150,NOT AVAILABLE,,,OPEN
-73.99484207,41.92665841,7030,13112401,HEALTHALLIANCE HOSPITAL - BROADWAY CAMPUS,KINGSTON,NY,12401,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,150,ULSTER,36111,USA,41.92665841,-73.99484207,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,150,NOT AVAILABLE,,,OPEN
-74.37903497,41.73262979,7031,13212428,ELLENVILLE REGIONAL HOSPITAL,ELLENVILLE,NY,12428,NOT AVAILABLE,CRITICAL ACCESS,OPEN,25,ULSTER,36111,USA,41.73262979,-74.37903498,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,25,NOT AVAILABLE,,,OPEN
-73.64631274,43.30662939,7032,13312801,GLENS FALLS HOSPITAL,GLENS FALLS,NY,12801,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,410,WARREN,36113,USA,43.30662939,-73.64631274,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,410,NOT AVAILABLE,,,OPEN
-73.7693051,41.02559431,7033,13510601,WHITE PLAINS HOSPITAL CENTER,WHITE PLAINS,NY,10601,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,292,WESTCHESTER,36119,USA,41.02559431,-73.7693051,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,292,NOT AVAILABLE,,,OPEN
-77.10166991,43.06049938,7034,13614513,NEWARK-WAYNE COMMUNITY HOSPITAL,NEWARK,NY,14513,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,120,WAYNE,36117,USA,43.06049938,-77.10166991,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,120,NOT AVAILABLE,,,OPEN
-73.83535509,40.84418356,7035,13710461,BURKE REHABILITATION CENTER,BRONX,NY,10461,NOT AVAILABLE,REHABILITATION,CLOSED,-999,BRONX,36005,USA,40.84418356,-73.83535509,622210,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",-999,NOT AVAILABLE,,,OPEN
-73.86191965,41.01439225,7036,14110522,ST. JOHN S RIVERSIDE HOSPITAL - DOBBS FERRY,DOBBS FERRY,NY,10522,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,12,WESTCHESTER,36119,USA,41.01439225,-73.86191965,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,12,NOT AVAILABLE,,,OPEN
-73.72570075,41.19705408,7037,14210549,NORTHERN WESTCHESTER HOSPITAL,MOUNT KISCO,NY,10549,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,245,WESTCHESTER,36119,USA,41.19705408,-73.72570075,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,145,NOT AVAILABLE,,,OPEN
-73.86308776,41.10900706,7038,14510591,PHELPS MEMORIAL HOSPITAL CENTER,SLEEPY HOLLOW,NY,10591,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,238,WESTCHESTER,36119,USA,41.10900706,-73.86308776,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,238,NOT AVAILABLE,,,OPEN
-86.28859309,37.4725153,7039,11442754,TWIN LAKES REGIONAL MEDICAL CENTER,LEITCHFIELD,KY,42754,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,75,GRAYSON,21085,USA,37.4725153,-86.28859309,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,75,NOT AVAILABLE,,,OPEN
-73.8365642,40.94209087,7040,14710708,NEW YORK-PRESBYTERIAN/LAWRENCE HOSPITAL,BRONXVILLE,NY,10708,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,187,WESTCHESTER,36119,USA,40.94209087,-73.8365642,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,187,NOT AVAILABLE,,,OPEN
-88.65125908,36.75920899,7041,3742066,JACKSON PURCHASE MEDICAL CENTER,MAYFIELD,KY,42066,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,107,GRAVES,21083,USA,36.75920899,-88.65125908,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,107,NOT AVAILABLE,,,OPEN
-82.69261651,38.50845432,7042,7341101,OUR LADY OF BELLEFONTE HOSPITAL,ASHLAND,KY,41101,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,190,GREENUP,21089,USA,38.50845432,-82.69261651,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,190,NOT AVAILABLE,,,OPEN
-73.79997224,41.07484754,7043,14810595,BLYTHEDALE CHILDREN S HOSPITAL,VALAHALLA,NY,10595,NOT AVAILABLE,CHILDREN,OPEN,86,WESTCHESTER,36119,USA,41.07484754,-73.79997224,622110,"CHILDREN S HOSPITALS, GENERAL",86,NOT AVAILABLE,,,OPEN
-90.26048664,39.74608499,7044,2962650,PASSAVANT AREA HOSPITAL,JACKSONVILLE,IL,62650,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,108,MORGAN,17137,USA,39.74608499,-90.26048664,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,108,NOT AVAILABLE,,,OPEN
-77.6105994,39.6769953,7045,3421740,BROOK LANE HEALTH SERVICES,HAGERSTOWN,MD,21740,NOT AVAILABLE,PSYCHIATRIC,OPEN,65,WASHINGTON,24043,USA,39.6769953,-77.6105994,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,65,NOT AVAILABLE,,,OPEN
-77.06119958,42.67140067,7046,14914527,SOLDIERS AND SAILORS MEMORIAL HOSPITAL,PENN YAN,NY,14527,NOT AVAILABLE,CRITICAL ACCESS,OPEN,25,YATES,36123,USA,42.67140067,-77.06119958,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,25,NOT AVAILABLE,,,OPEN
-73.90405698,40.83171479,7047,15010456,BRONX-LEBANON HOSPITAL CENTER - FULTON DIVISION,BRONX,NY,10456,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,164,BRONX,36005,USA,40.83171479,-73.90405698,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,164,NOT AVAILABLE,,,OPEN
-84.58515725,37.62202606,7048,2640444,GARRARD COUNTY HOSPITAL,LANCASTER,KY,40444,NOT AVAILABLE,GENERAL ACUTE CARE,CLOSED,15,GARRARD,21079,USA,37.62202606,-84.58515725,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,15,NOT AVAILABLE,,,OPEN
-73.80495477,41.08609075,7049,15110532,WESTCHESTER MEDICAL CENTER,VALHALLA,NY,10532,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,652,WESTCHESTER,36119,USA,41.08609075,-73.80495477,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,652,"I, I PEDIATRIC",,,OPEN
-73.84751215,40.85629836,7050,15210036,JACOBI MEDICAL CENTER,BRONX,NY,10036,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,457,BRONX,36005,USA,40.85629836,-73.84751215,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,457,REGIONAL,,,OPEN
-73.8798267,40.88007926,7051,15310466,MONTEFIORE MEDICAL CENTER - MOSES DIVISION,BRONX,NY,10466,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,779,BRONX,36005,USA,40.88007926,-73.8798267,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,779,NOT AVAILABLE,,,OPEN
-84.9068937,38.16066175,7052,2440601,FRANKFORT REGIONAL MEDICAL CENTER,FRANKFORT,KY,40601,NOT AVAILABLE,LONG TERM CARE,OPEN,173,FRANKLIN,21073,USA,38.16066175,-84.9068937,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,173,LEVEL III TRAUMA,,,OPEN
-73.84394163,40.84798989,7053,15510461,CALVARY HOSPITAL,BRONX,NY,10461,NOT AVAILABLE,LONG TERM CARE,OPEN,225,BRONX,36005,USA,40.84798989,-73.84394163,622310,"HOSPITALS, SPECIALTY (EXCEPT PSYCHIATRIC, SUBSTANCE ABUSE)",225,NOT AVAILABLE,,,OPEN
-73.88105711,40.8803656,7054,15610467,NORTH CENTRAL BRONX HOSPITAL,BRONX,NY,10467,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,213,BRONX,36005,USA,40.8803656,-73.88105711,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,213,NOT AVAILABLE,,,OPEN
-75.5957198,38.38229856,7055,3921802,DEER S HEAD CENTER,SALISBURY,MD,21802,NOT AVAILABLE,CHRONIC DISEASE,OPEN,81,WICOMICO,24045,USA,38.38229856,-75.5957198,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,81,NOT AVAILABLE,,,OPEN
-77.68256295,39.62219281,7056,3521742,MERITUS MEDICAL CENTER,HAGERSTOWN,MD,21742,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,247,WASHINGTON,24043,USA,39.62219281,-77.68256295,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,247,LEVEL III,,,OPEN
-77.71631192,39.66242734,7057,3821742,WESTERN MARYLAND CENTER,HAGERSTOWN,MD,21742,NOT AVAILABLE,LONG TERM CARE,OPEN,60,WASHINGTON,24043,USA,39.66242734,-77.71631192,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,60,NOT AVAILABLE,,,OPEN
-78.1310725,42.75430004,7058,15814550,WYOMING COUNTY COMMUNITY HOSPITAL,WARSAW,NY,14550,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,62,WYOMING,36121,USA,42.75430004,-78.1310725,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,62,NOT AVAILABLE,,,OPEN
-73.91255653,40.6552691,7059,16111212,BROOKDALE HOSPITAL MEDICAL CENTER,BROOKLYN,NY,11212,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,530,KINGS,36047,USA,40.6552691,-73.91255653,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,530,REGIONAL,,,OPEN
-73.97788376,40.69057251,7060,16211201,BROOKLYN HOSPITAL CENTER,BROOKLYN,NY,11201,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,464,KINGS,36047,USA,40.69057251,-73.97788376,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,464,NOT AVAILABLE,,,OPEN
-73.84851753,40.84074311,7061,16310461,MONTEFIORE WESTCHESTER SQUARE MEDICAL CENTER,BRONX,NY,10461,NOT AVAILABLE,GENERAL ACUTE CARE,CLOSED,-999,BRONX,36005,USA,40.84074311,-73.84851753,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,-999,NOT AVAILABLE,,,OPEN
-73.94469079,40.65661638,7062,16411203,KINGS COUNTY HOSPITAL CENTER,BROOKLYN,NY,11203,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,639,KINGS,36047,USA,40.65661638,-73.94469079,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,639,REGIONAL,,,OPEN
-73.96533243,40.58541438,7063,16611235,CONEY ISLAND HOSPITAL,BROOKLYN,NY,11235,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,371,KINGS,36047,USA,40.58541438,-73.96533243,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,371,NOT AVAILABLE,,,OPEN
-73.99787756,40.69059527,7064,16711201,LONG ISLAND COLLEGE HOSPITAL,BROOKLYN,NY,11201,NOT AVAILABLE,GENERAL ACUTE CARE,CLOSED,506,KINGS,36047,USA,40.69059527,-73.99787756,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,506,NOT AVAILABLE,,,OPEN
-73.99845263,40.63947888,7065,16811219,MAIMONIDES MEDICAL CENTER,BROOKLYN,NY,11219,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,679,KINGS,36047,USA,40.63947888,-73.99845264,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,679,NOT AVAILABLE,,,OPEN
-84.27768645,38.38396873,7066,3241031,HARRISON MEMORIAL HOSPITAL,CYNTHIANA,KY,41031,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,61,HARRISON,21097,USA,38.38396873,-84.27768646,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,61,NOT AVAILABLE,,,OPEN
-74.02091469,40.64656399,7067,16911209,NYU LUTHERAN MEDICAL CENTER,BROOKLYN,NY,11209,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,396,KINGS,36047,USA,40.64656399,-74.02091469,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,396,I,,,OPEN
-73.97899052,40.6677617,7068,17011215,NEW YORK METHODIST HOSPITAL,BROOKLYN,NY,11215,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,591,KINGS,36047,USA,40.6677617,-73.97899052,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,591,PROVISIONAL LEVEL II,,,OPEN
-73.93736833,40.67823304,7069,17111213,INTERFAITH MEDICAL CENTER,BROOKLYN,NY,11213,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,287,KINGS,36047,USA,40.67823304,-73.93736834,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,287,NOT AVAILABLE,,,OPEN
-73.9177637,40.70396404,7070,17311237,WYCKOFF HEIGHTS MEDICAL CENTER,BROOKLYN,NY,11237,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,324,KINGS,36047,USA,40.70396404,-73.9177637,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,324,NOT AVAILABLE,,,OPEN
-73.98299996,40.73443169,7071,17910003,NYU HOSPITAL FOR JOINT DISEASES,NEW YORK,NY,10003,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,225,NEW YORK,36061,USA,40.73443169,-73.98299996,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,225,NOT AVAILABLE,,,OPEN
-73.95231485,40.76492338,7072,18010021,HOSPITAL FOR SPECIAL SURGERY,NEW YORK,NY,10021,NOT AVAILABLE,SPECIAL,OPEN,215,NEW YORK,36061,USA,40.76492338,-73.95231485,622310,"HOSPITALS, SPECIALTY (EXCEPT PSYCHIATRIC, SUBSTANCE ABUSE)",215,NOT AVAILABLE,,,OPEN
-73.96089077,40.77370268,7073,18110021,LENOX HILL HOSPITAL,NEW YORK,NY,10021,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,632,NEW YORK,36061,USA,40.77370268,-73.96089077,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,632,NOT AVAILABLE,,,OPEN
-73.94453023,40.78492694,7074,18210029,METROPOLITAN HOSPITAL CENTER,NEW YORK,NY,10029,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,338,NEW YORK,36061,USA,40.78492694,-73.94453023,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,338,NOT AVAILABLE,,,OPEN
-73.98448331,40.73185306,7075,18410003,NEW YORK EYE AND EAR INFIRMARY,NEW YORK,NY,10003,NOT AVAILABLE,SPECIAL,OPEN,69,NEW YORK,36061,USA,40.73185306,-73.98448331,622310,"EYE, EAR, NOSE, AND THROAT HOSPITALS",69,NOT AVAILABLE,,,OPEN
-73.94128258,40.83976326,7076,18610032,NEW YORK PRESBYTERIAN MORGAN STANLEY CHILDREN S HOSPITAL,NEW YORK,NY,10032,NOT AVAILABLE,CHILDREN,OPEN,190,NEW YORK,36061,USA,40.83976326,-73.94128258,622110,"CHILDREN S HOSPITALS, GENERAL",190,REGIONAL PEDIATRIC,,,OPEN
-73.95321427,40.78976753,7077,18710001,MOUNT SINAI HOSPITAL,NEW YORK,NY,10001,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,1144,NEW YORK,36061,USA,40.78976753,-73.95321427,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,1144,NOT AVAILABLE,,,OPEN
-73.98680839,40.76941213,7078,18810019,THE ADDICTION INSTITUTE OF NEW YORK,NEW YORK,NY,10019,NOT AVAILABLE,PSYCHIATRIC,CLOSED,-999,NEW YORK,36061,USA,40.76941213,-73.9868084,622210,"HOSPITALS, PSYCHIATRIC (EXCEPT CONVALESCENT)",-999,NOT AVAILABLE,,,OPEN
-73.95302135,40.7697165,7079,18910021,GRACIE SQUARE HOSPITAL,NEW YORK,NY,10021,NOT AVAILABLE,PSYCHIATRIC,OPEN,157,NEW YORK,36061,USA,40.7697165,-73.95302135,622210,"HOSPITALS, PSYCHIATRIC (EXCEPT CONVALESCENT)",157,NOT AVAILABLE,,,OPEN
-73.94214388,40.77030214,7080,19010044,COLER-GOLDWATER SPECIALTY HOSPITAL & NURSING FACILITY - COLER HOSPITAL SITE,NEW YORK,NY,10044,NOT AVAILABLE,LONG TERM CARE,OPEN,210,NEW YORK,36061,USA,40.77030214,-73.94214388,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",210,NOT AVAILABLE,,,OPEN
-74.07535459,40.62242782,7081,19210304,RICHMOND UNIVERSITY MEDICAL CENTER - BAYLEY SETON CAMPUS,STATEN ISLAND,NY,10304,NOT AVAILABLE,PSYCHIATRIC,OPEN,25,RICHMOND,36085,USA,40.62242782,-74.0753546,622210,"HOSPITALS, PSYCHIATRIC (EXCEPT CONVALESCENT)",25,NOT AVAILABLE,,,OPEN
-73.95628185,40.75483575,7082,19310044,GOLDWATER SPECIALTY HOSPITAL,NEW YORK,NY,10044,NOT AVAILABLE,GENERAL ACUTE CARE,CLOSED,1000,NEW YORK,36061,USA,40.75483575,-73.95628185,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,1000,NOT AVAILABLE,,,OPEN
-73.81646552,40.75540992,7083,19411355,FLUSHING HOSPITAL MEDICAL CENTER,FLUSHING,NY,11355,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,293,QUEENS,36081,USA,40.75540992,-73.81646552,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,293,NOT AVAILABLE,,,OPEN
-73.80455619,40.71707221,7084,19511432,QUEENS HOSPITAL CENTER,JAMAICA,NY,11432,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,247,QUEENS,36081,USA,40.71707221,-73.80455619,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,247,NOT AVAILABLE,,,OPEN
